program_id,milestones_missed,burn_rate,stakeholder_count,at_risk
1,7,0.115,85.76,0
2,55,0.024,240.76,0
3,53,0.248,251.74,0
4,5,0.277,88.68,0
5,59,0.487,49.78,0
6,55,0.038,329.02,1
7,19,0.466,328.71,1
8,3,0.303,408.34,1
9,37,0.286,60.84,0
10,6,0.014,247.98,0
11,52,0.089,195.4,0
12,8,0.409,213.5,0
13,9,0.025,190.53,0
14,29,0.286,190.35,0
15,42,0.281,394.24,1
16,23,0.197,335.5,1
17,44,0.439,41.61,0
18,7,0.494,295.81,0
19,36,0.452,388.55,1
20,37,0.393,424.52,1
21,43,0.011,482.09,1
22,31,0.278,493.3,1
23,48,0.187,62.21,0
24,37,0.26,457.38,1
25,5,0.127,341.41,1
26,7,0.061,168.23,0
27,55,0.357,390.34,1
28,3,0.206,50.41,0
29,57,0.453,93.37,0
30,57,0.139,449.59,1
31,55,0.038,286.76,1
32,4,0.23,181.63,0
33,6,0.477,492.53,1
34,52,0.253,284.42,1
35,12,0.186,29.24,0
36,50,0.166,287.05,1
37,5,0.255,62.41,0
38,17,0.173,177.6,0
39,27,0.027,424.14,1
40,56,0.003,44.17,0
41,57,0.432,338.93,1
42,45,0.212,98.62,0
43,1,0.043,461.79,1
44,3,0.31,62.8,0
45,23,0.246,283.64,0
46,39,0.145,179.86,0
47,5,0.279,363.91,1
48,55,0.135,385.96,1
49,55,0.012,491.18,1
50,4,0.102,372.52,1
51,38,0.35,113.21,0
52,30,0.442,276.61,0
53,17,0.484,246.66,0
54,58,0.485,337.67,1
55,44,0.266,372.95,1
56,45,0.1,305.74,1
57,22,0.435,44.9,0
58,9,0.368,77.33,0
59,43,0.027,478.13,1
60,35,0.122,140.61,0
61,30,0.408,373.31,1
62,55,0.19,74.17,0
63,41,0.405,132.72,0
64,54,0.107,58.05,0
65,2,0.188,52.39,0
66,53,0.054,315.13,1
67,31,0.023,488.09,1
68,47,0.307,313.11,1
69,38,0.292,454.41,1
70,56,0.046,91.3,0
71,22,0.409,135.66,0
72,34,0.398,119.31,0
73,36,0.323,170.02,0
74,13,0.174,476.86,1
75,10,0.166,53.85,0
76,39,0.025,298.72,1
77,38,0.376,491.08,1
78,1,0.046,127.22,0
79,49,0.416,284.36,1
80,33,0.439,388.19,1
81,14,0.104,310.45,1
82,51,0.438,367.77,1
83,20,0.16,355.48,1
84,32,0.222,272.27,0
85,38,0.183,428.56,1
86,59,0.385,39.32,0
87,34,0.394,47.21,0
88,59,0.19,228.08,0
89,47,0.009,86.02,0
90,4,0.126,308.93,1
91,56,0.382,268.38,1
92,22,0.32,243.93,0
93,25,0.142,276.93,0
94,49,0.103,100.59,0
95,41,0.305,181.36,0
96,26,0.332,472.93,1
97,1,0.328,233.17,0
98,33,0.312,152.03,0
99,11,0.127,424.74,1
100,9,0.108,15.06,0
101,16,0.26,256.45,0
102,50,0.253,382.34,1
103,48,0.183,473.94,1
104,29,0.427,436.33,1
105,45,0.091,149.48,0
106,7,0.337,288.19,0
107,1,0.106,348.29,1
108,36,0.066,174.53,0
109,49,0.44,83.62,0
110,35,0.054,304.95,1
111,21,0.23,68.75,0
112,2,0.231,273.41,0
113,37,0.226,244.21,0
114,55,0.032,160.51,0
115,11,0.004,239.2,0
116,48,0.363,446.6,1
117,45,0.045,35.92,0
118,37,0.46,210.84,0
119,26,0.074,152.13,0
120,48,0.346,97.57,0
121,43,0.251,356.37,1
122,37,0.359,121.82,0
123,24,0.392,332.04,1
124,30,0.313,323.96,1
125,45,0.402,433.0,1
126,57,0.049,73.12,0
127,32,0.333,255.2,0
128,15,0.131,287.09,0
129,26,0.035,314.62,1
130,51,0.236,131.72,0
131,2,0.134,98.58,0
132,6,0.485,40.56,0
133,9,0.369,301.71,1
134,19,0.004,249.94,0
135,7,0.196,267.55,0
136,9,0.062,142.54,0
137,15,0.004,473.41,1
138,32,0.327,235.45,0
139,37,0.052,472.24,1
140,18,0.204,222.55,0
141,9,0.063,430.08,1
142,58,0.095,147.32,0
143,18,0.298,261.58,0
144,9,0.302,415.41,1
145,2,0.052,197.84,0
146,56,0.438,231.44,0
147,29,0.191,461.38,1
148,9,0.278,369.91,1
149,24,0.347,275.38,0
150,11,0.317,36.26,0
151,48,0.396,149.58,0
152,40,0.262,337.7,1
153,16,0.24,115.99,0
154,21,0.443,309.8,1
155,15,0.469,314.31,1
156,49,0.062,74.46,0
157,9,0.49,257.64,0
158,34,0.41,273.68,0
159,56,0.075,43.51,0
160,6,0.275,376.84,1
161,5,0.245,309.33,1
162,10,0.021,69.36,0
163,23,0.223,231.02,0
164,34,0.271,218.35,0
165,24,0.324,495.46,1
166,22,0.484,128.97,0
167,54,0.467,249.71,0
168,1,0.406,480.3,1
169,40,0.413,234.61,0
170,21,0.316,447.82,1
171,24,0.441,462.72,1
172,35,0.045,290.44,1
173,40,0.1,59.0,0
174,45,0.186,274.7,1
175,56,0.46,115.47,0
176,54,0.143,176.51,0
177,43,0.242,490.02,1
178,37,0.289,111.92,0
179,27,0.497,22.26,0
180,52,0.321,389.11,1
181,38,0.474,122.98,0
182,29,0.287,190.09,0
183,6,0.436,46.06,0
184,25,0.399,170.38,0
185,58,0.244,224.85,0
186,48,0.219,314.67,1
187,16,0.202,412.61,1
188,27,0.41,327.58,1
189,12,0.249,82.92,0
190,2,0.357,41.75,0
191,54,0.298,115.0,0
192,4,0.467,206.1,0
193,9,0.028,475.96,1
194,30,0.499,205.75,0
195,27,0.352,447.99,1
196,49,0.267,235.32,0
197,2,0.043,267.21,0
198,12,0.466,243.06,0
199,55,0.136,219.3,0
200,2,0.479,338.3,1
201,34,0.161,14.22,0
202,1,0.043,355.04,1
203,59,0.353,83.8,0
204,18,0.4,176.79,0
205,5,0.453,198.3,0
206,56,0.027,405.5,1
207,29,0.274,256.63,0
208,12,0.142,128.13,0
209,59,0.33,73.4,0
210,33,0.167,172.91,0
211,30,0.08,393.41,1
212,37,0.108,412.64,1
213,26,0.124,313.12,1
214,2,0.121,162.82,0
215,43,0.151,181.44,0
216,22,0.464,68.07,0
217,39,0.246,426.77,1
218,15,0.131,51.51,0
219,24,0.084,334.2,1
220,27,0.294,77.42,0
221,56,0.229,130.74,0
222,22,0.44,82.44,0
223,35,0.305,332.9,1
224,18,0.268,496.13,1
225,8,0.296,20.45,0
226,45,0.113,480.62,1
227,24,0.195,485.85,1
228,42,0.348,458.54,1
229,30,0.027,364.12,1
230,45,0.168,42.14,0
231,56,0.167,58.05,0
232,21,0.241,166.93,0
233,24,0.403,124.79,0
234,15,0.269,168.23,0
235,10,0.233,424.53,1
236,52,0.291,173.62,0
237,5,0.209,309.6,1
238,7,0.079,436.0,1
239,37,0.253,298.68,1
240,36,0.375,391.42,1
241,3,0.28,325.73,1
242,1,0.299,100.99,0
243,45,0.41,322.41,1
244,42,0.101,17.23,0
245,23,0.429,348.84,1
246,59,0.072,403.63,1
247,31,0.301,235.91,0
248,18,0.351,194.57,0
249,47,0.292,71.11,0
250,59,0.364,151.18,0
251,48,0.446,471.29,1
252,41,0.299,283.06,1
253,20,0.117,413.09,1
254,25,0.323,354.63,1
255,57,0.174,156.04,0
256,57,0.166,229.27,0
257,2,0.332,386.46,1
258,47,0.335,455.16,1
259,2,0.206,85.97,0
260,26,0.108,249.73,0
261,51,0.477,391.83,1
262,49,0.098,61.2,0
263,36,0.409,464.01,1
264,12,0.202,279.51,0
265,13,0.01,291.91,0
266,45,0.011,479.41,1
267,23,0.178,59.5,0
268,28,0.23,45.28,0
269,52,0.252,312.69,1
270,38,0.422,288.29,1
271,36,0.311,329.45,1
272,47,0.068,215.58,0
273,12,0.099,338.61,1
274,15,0.401,440.19,1
275,42,0.43,311.63,1
276,12,0.069,226.16,0
277,25,0.219,104.06,0
278,21,0.127,20.69,0
279,54,0.062,288.57,1
280,19,0.097,149.82,0
281,33,0.456,187.8,0
282,24,0.025,211.9,0
283,4,0.29,93.82,0
284,51,0.357,166.88,0
285,54,0.499,78.88,0
286,26,0.447,282.55,1
287,41,0.408,211.69,0
288,36,0.213,432.73,1
289,10,0.285,42.88,0
290,34,0.245,329.61,1
291,31,0.028,443.19,1
292,14,0.186,330.29,1
293,14,0.489,145.98,0
294,7,0.307,407.85,1
