project_id,start_date,duration_days,budget_k,team_size,complexity_level,risk_score,vendor_count,deliverables_count,end_date,success
1,2021-04-13,276,262,8,Medium,9,3,6,2022-01-14,0
2,2021-12-15,287,214,15,Low,6,3,6,2022-09-28,1
3,2021-09-28,189,54,16,High,1,0,6,2022-04-05,1
4,2021-04-17,181,388,8,Medium,1,2,2,2021-10-15,1
5,2021-03-13,207,428,10,Medium,6,1,3,2021-10-06,0
6,2021-07-08,192,127,17,Low,4,2,6,2022-01-16,1
7,2021-01-21,62,459,9,Medium,4,0,8,2021-03-24,0
8,2021-04-13,208,111,19,Medium,6,3,1,2021-11-07,0
9,2021-05-02,130,181,19,Medium,7,3,1,2021-09-09,0
10,2021-08-03,297,138,8,Low,9,0,2,2022-05-27,1
11,2021-11-27,352,286,4,Medium,5,1,6,2022-11-14,0
12,2021-03-29,94,91,19,High,9,3,9,2021-07-01,1
13,2021-04-10,197,138,11,Low,4,4,4,2021-10-24,1
14,2021-12-26,359,451,8,High,2,3,3,2022-12-20,0
15,2021-06-01,72,345,18,Medium,3,4,8,2021-08-12,0
16,2021-05-11,73,377,15,High,1,0,9,2021-07-23,1
17,2021-05-30,314,344,4,Medium,6,0,5,2022-04-09,1
18,2021-11-05,41,153,13,Medium,6,3,9,2021-12-16,1
19,2021-09-15,124,63,14,Medium,1,2,2,2022-01-17,1
20,2021-12-10,331,337,3,High,3,4,3,2022-11-06,0
21,2021-10-21,282,228,4,Medium,5,1,7,2022-07-30,1
22,2021-07-11,271,174,6,Medium,3,3,7,2022-04-08,0
23,2021-10-04,64,471,12,Medium,3,1,6,2021-12-07,0
24,2021-06-10,244,402,9,High,3,3,6,2022-02-09,1
25,2021-11-10,119,72,13,Medium,5,2,2,2022-03-09,1
26,2021-01-22,293,112,8,Medium,5,2,6,2021-11-11,0
27,2021-09-10,122,192,16,Medium,4,2,4,2022-01-10,1
28,2021-08-24,119,202,18,High,1,2,3,2021-12-21,0
29,2021-12-11,144,194,5,Low,5,0,2,2022-05-04,1
30,2021-02-18,134,274,14,Medium,5,0,1,2021-07-02,0
31,2021-02-28,225,499,19,Low,4,4,5,2021-10-11,1
32,2021-06-19,343,358,2,Medium,6,1,2,2022-05-28,0
33,2021-07-07,143,153,17,Medium,4,3,2,2021-11-27,0
34,2021-09-28,104,153,14,Medium,7,3,7,2022-01-10,0
35,2021-07-09,246,484,11,Medium,7,0,8,2022-03-12,0
36,2021-06-24,306,88,13,Medium,2,3,8,2022-04-26,1
37,2021-02-20,278,484,3,Medium,3,0,4,2021-11-25,1
38,2021-12-30,193,247,4,Low,1,4,1,2022-07-11,0
39,2021-02-24,221,183,11,Medium,8,1,7,2021-10-03,0
40,2021-09-01,256,116,3,Low,9,4,1,2022-05-15,0
41,2021-11-16,206,440,14,Low,4,2,4,2022-06-10,0
42,2021-05-11,128,228,14,Medium,6,2,8,2021-09-16,1
43,2021-11-03,65,91,19,Medium,9,2,2,2022-01-07,0
44,2021-05-15,125,497,4,Medium,6,4,6,2021-09-17,1
45,2021-01-21,181,64,8,Medium,9,3,6,2021-07-21,0
46,2021-11-25,180,160,15,Medium,4,1,9,2022-05-24,0
47,2021-06-16,219,206,18,High,8,2,5,2022-01-21,0
48,2021-10-01,253,338,13,Medium,9,2,4,2022-06-11,1
49,2021-03-30,66,280,17,Medium,4,2,5,2021-06-04,0
50,2021-11-12,297,460,13,Low,5,1,5,2022-09-05,0
51,2021-01-14,212,469,16,Medium,8,2,8,2021-08-14,1
52,2021-08-30,42,206,11,Medium,6,1,8,2021-10-11,0
53,2021-09-22,308,87,8,Medium,7,2,2,2022-07-27,1
54,2021-12-12,246,490,6,Medium,3,4,7,2022-08-15,0
55,2021-02-22,315,146,2,Medium,7,4,8,2022-01-03,1
56,2021-12-06,302,460,18,Medium,8,1,6,2022-10-04,0
57,2021-04-02,91,488,4,Medium,6,4,5,2021-07-02,0
58,2021-09-21,113,338,14,High,9,1,9,2022-01-12,1
59,2021-02-04,246,303,15,Medium,6,4,3,2021-10-08,1
60,2021-07-25,216,245,19,High,9,4,4,2022-02-26,1
61,2021-03-22,48,135,5,Low,4,1,9,2021-05-09,0
62,2021-02-19,206,371,19,Low,8,3,6,2021-09-13,0
63,2021-12-26,129,59,6,Low,4,4,8,2022-05-04,0
